TAMBON_T,AMPHOE_T,CHANGWAT_T,LAT,LONG
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.770,99.668
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.521,99.711
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.800,99.713
หาดทรายรี,เมืองชุมพร,ชุมพร,10.426,99.316
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.603,99.715
เกาะสาหร่าย,เมืองสตูล,สตูล,6.499,99.318
เกาะสาหร่าย,เมืองสตูล,สตูล,6.652,99.692
สัตหีบ,สัตหีบ,ชลบุรี,12.646,100.897
อ่าวลึกน้อย,อ่าวลึก,กระบี่,8.211,98.687
กำพวน,สุขสำราญ,ระนอง,9.500,98.368
ดอนสัก,ดอนสัก,สุราษฎร์ธานี,9.315,99.660
ด่านสวี,สวี,ชุมพร,10.257,99.227
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.672,99.681
เกาะสาหร่าย,เมืองสตูล,สตูล,6.514,99.262
ด่านสวี,สวี,ชุมพร,10.200,99.249
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.542,99.673
อ่าวลึกน้อย,อ่าวลึก,กระบี่,8.208,98.691
ปากตะโก,ทุ่งตะโก,ชุมพร,10.151,99.204
อ่าวลึกน้อย,อ่าวลึก,กระบี่,8.302,98.698
เกาะพยาม,เมืองระนอง,ระนอง,9.877,98.442
อ่าวลึกน้อย,อ่าวลึก,กระบี่,8.204,98.690
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.671,99.678
ปากน้ำ,เมืองระนอง,ระนอง,9.914,98.526
เทพกระษัตรี,ถลาง,ภูเก็ต,8.116,98.425
เกาะพยาม,เมืองระนอง,ระนอง,9.779,98.477
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.771,99.671
ปากน้ำ,เมืองระนอง,ระนอง,9.926,98.514
เขาทอง,เมืองกระบี่,กระบี่,8.144,98.717
แสมสาร,สัตหีบ,ชลบุรี,12.549,100.971
แหลมสัก,อ่าวลึก,กระบี่,8.292,98.616
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.673,99.669
เขาคราม,เมืองกระบี่,กระบี่,8.210,98.729
เกาะแก้ว,เมืองภูเก็ต,ภูเก็ต,7.965,98.451
เกาะเปริด,แหลมสิงห์,จันทบุรี,12.424,102.109
เกาะสาหร่าย,เมืองสตูล,สตูล,6.548,99.705
ปากคลอง,ปะทิว,ชุมพร,10.823,99.492
ปากตะโก,ทุ่งตะโก,ชุมพร,10.155,99.218
เกาะสาหร่าย,เมืองสตูล,สตูล,6.488,99.334
นาเกลือ,บางละมุง,ชลบุรี,12.928,100.805
เกาะหมาก,เกาะกูด,ตราด,11.823,102.385
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.482,99.696
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.676,99.677
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.776,99.672
กร่ำ,แกลง,ระยอง,12.584,101.510
ด่านสวี,สวี,ชุมพร,10.272,99.233
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.556,99.685
อ่าวลึกน้อย,อ่าวลึก,กระบี่,8.238,98.708
เขาทอง,เมืองกระบี่,กระบี่,8.176,98.735
ตะเสะ,หาดสำราญ,ตรัง,7.075,99.394
เกาะสาหร่าย,เมืองสตูล,สตูล,6.643,99.694
เขาทอง,เมืองกระบี่,กระบี่,8.104,98.682
ปากตะโก,ทุ่งตะโก,ชุมพร,10.071,99.185
บางหิน,กะเปอร์,ระนอง,9.595,98.469
เกาะสาหร่าย,เมืองสตูล,สตูล,6.653,99.833
หาดทรายรี,เมืองชุมพร,ชุมพร,10.319,99.300
แสมสาร,สัตหีบ,ชลบุรี,12.603,100.917
หาดทรายรี,เมืองชุมพร,ชุมพร,10.363,99.310
ด่านสวี,สวี,ชุมพร,10.249,99.224
เกาะสาหร่าย,เมืองสตูล,สตูล,6.611,99.700
ราไวย์,เมืองภูเก็ต,ภูเก็ต,7.767,98.300
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.510,99.705
เกาะสาหร่าย,เมืองสตูล,สตูล,6.686,99.905
เกาะสาหร่าย,เมืองสตูล,สตูล,6.505,99.177
เขาทอง,เมืองกระบี่,กระบี่,8.129,98.685
กร่ำ,แกลง,ระยอง,12.557,101.569
ราไวย์,เมืองภูเก็ต,ภูเก็ต,7.736,98.296
เกาะลันตาน้อย,เกาะลันตา,กระบี่,7.576,99.142
ดอนสัก,ดอนสัก,สุราษฎร์ธานี,9.331,99.703
สัตหีบ,สัตหีบ,ชลบุรี,12.727,100.798
อ่าวลึกน้อย,อ่าวลึก,กระบี่,8.246,98.704
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.594,99.721
เกาะพระทอง,คุระบุรี,พังงา,9.396,97.895
หาดทรายรี,เมืองชุมพร,ชุมพร,10.390,99.293
กำพวน,สุขสำราญ,ระนอง,9.457,98.328
นาเกลือ,บางละมุง,ชลบุรี,12.942,100.793
สัตหีบ,สัตหีบ,ชลบุรี,12.612,100.876
สัตหีบ,สัตหีบ,ชลบุรี,12.624,100.901
อ่าวนาง,เมืองกระบี่,กระบี่,7.616,98.863
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.641,99.675
ตะเสะ,หาดสำราญ,ตรัง,7.133,99.583
เกาะพะงัน,เกาะพะงัน,สุราษฎร์ธานี,9.802,99.979
เกาะหมาก,เกาะกูด,ตราด,11.835,102.460
บางชัน,ขลุง,จันทบุรี,12.288,102.251
เขาทอง,เมืองกระบี่,กระบี่,8.113,98.707
เกาะลิบง,กันตัง,ตรัง,7.314,99.408
นาชะอัง,เมืองชุมพร,ชุมพร,10.557,99.379
เกาะลันตาน้อย,เกาะลันตา,กระบี่,7.561,99.144
เกาะสาหร่าย,เมืองสตูล,สตูล,6.709,99.671
เกาะสาหร่าย,เมืองสตูล,สตูล,6.619,99.689
เขาทอง,เมืองกระบี่,กระบี่,8.124,98.669
เขาทอง,เมืองกระบี่,กระบี่,8.107,98.688
เกาะเปริด,แหลมสิงห์,จันทบุรี,12.396,102.133
เกาะสาหร่าย,เมืองสตูล,สตูล,6.665,99.691
ตะเสะ,หาดสำราญ,ตรัง,6.975,99.475
หาดทรายรี,เมืองชุมพร,ชุมพร,10.496,99.421
ปากน้ำ,เมืองระนอง,ระนอง,9.920,98.535
เกาะสาหร่าย,เมืองสตูล,สตูล,6.729,99.660
เกาะหมาก,เกาะกูด,ตราด,11.808,102.455
ดอนสัก,ดอนสัก,สุราษฎร์ธานี,9.352,99.683
รัษฎา,เมืองภูเก็ต,ภูเก็ต,7.834,98.423
กร่ำ,แกลง,ระยอง,12.599,101.691
บ่อหิน,สิเกา,ตรัง,7.559,99.288
เกาะลิบง,กันตัง,ตรัง,7.380,99.248
เกาะสาหร่าย,เมืองสตูล,สตูล,6.732,99.706
เสาชิงช้า,พระนคร,กรุงเทพมหานคร,13.753,100.500
ราไวย์,เมืองภูเก็ต,ภูเก็ต,7.747,98.301
เกาะพระทอง,คุระบุรี,พังงา,8.519,97.647
ศาลเจ้าพ่อเสือ,พระนคร,กรุงเทพมหานคร,13.754,100.497
บางกะไชย,แหลมสิงห์,จันทบุรี,12.463,102.023
แสมสาร,สัตหีบ,ชลบุรี,12.572,100.932
เกาะหมาก,เกาะกูด,ตราด,11.799,102.451
เขาคราม,เมืองกระบี่,กระบี่,8.217,98.725
สัตหีบ,สัตหีบ,ชลบุรี,12.617,100.881
หาดทรายรี,เมืองชุมพร,ชุมพร,10.376,99.322
เกาะพระทอง,คุระบุรี,พังงา,8.569,97.636
บ่อหิน,สิเกา,ตรัง,7.547,99.279
เกาะพยาม,เมืองระนอง,ระนอง,9.717,98.423
เกาะพะงัน,เกาะพะงัน,สุราษฎร์ธานี,9.709,99.973
พรุใน,เกาะยาว,พังงา,7.892,98.581
ตลาดยอด,พระนคร,กรุงเทพมหานคร,13.760,100.498
กร่ำ,แกลง,ระยอง,12.569,101.700
เกาะค้างคาว,ปะเหลียน,ตรัง,7.152,99.651
หาดทรายรี,เมืองชุมพร,ชุมพร,10.323,99.280
อ่าวนาง,เมืองกระบี่,กระบี่,7.821,98.774
เกาะพระทอง,คุระบุรี,พังงา,9.477,97.904
เกาะศรีบอยา,เหนือคลอง,กระบี่,7.801,98.995
คลองขุด,ท่าใหม่,จันทบุรี,12.512,101.950
ตะเสะ,หาดสำราญ,ตรัง,7.118,99.426
ชุมโค,ปะทิว,ชุมพร,10.701,99.410
วัดราชบพิธ,พระนคร,กรุงเทพมหานคร,13.750,100.499
สัตหีบ,สัตหีบ,ชลบุรี,12.676,100.823
เทพกระษัตรี,ถลาง,ภูเก็ต,8.108,98.405
เกาะศรีบอยา,เหนือคลอง,กระบี่,7.869,99.044
ปากตะโก,ทุ่งตะโก,ชุมพร,10.145,99.178
เกาะศรีบอยา,เหนือคลอง,กระบี่,7.808,98.991
เขาทอง,เมืองกระบี่,กระบี่,8.106,98.707
อ่าวนาง,เมืองกระบี่,กระบี่,7.817,98.795
เกาะศรีบอยา,เหนือคลอง,กระบี่,7.879,99.046
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.446,99.652
ป่าคลอก,ถลาง,ภูเก็ต,8.028,98.461
เขาทอง,เมืองกระบี่,กระบี่,8.120,98.678
อ่าวลึกน้อย,อ่าวลึก,กระบี่,8.297,98.694
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.783,99.673
เกาะสาหร่าย,เมืองสตูล,สตูล,6.694,99.858
ท่าข้าม,ปะเหลียน,ตรัง,7.127,99.699
เกาะพะงัน,เกาะพะงัน,สุราษฎร์ธานี,9.706,99.948
เกาะกลาง,เกาะลันตา,กระบี่,7.746,99.126
เกาะศรีบอยา,เหนือคลอง,กระบี่,7.847,98.983
สำราญราษฎร์,พระนคร,กรุงเทพมหานคร,13.751,100.503
บ่อผุด,เกาะสมุย,สุราษฎร์ธานี,9.539,100.081
เกาะพระทอง,คุระบุรี,พังงา,8.828,97.802
คลองยาง,เกาะลันตา,กระบี่,7.855,99.053
เกาะลันตาใหญ่,เกาะลันตา,กระบี่,7.496,99.120
ตะเสะ,หาดสำราญ,ตรัง,7.108,99.428
เขาคราม,เมืองกระบี่,กระบี่,8.217,98.730
เกาะช้าง,เกาะช้าง,ตราด,12.161,102.247
บางเสร่,สัตหีบ,ชลบุรี,12.761,100.844
เกาะพยาม,เมืองระนอง,ระนอง,9.782,98.447
เกาะเปริด,แหลมสิงห์,จันทบุรี,12.409,102.122
เกาะสาหร่าย,เมืองสตูล,สตูล,6.543,99.261
เกาะพยาม,เมืองระนอง,ระนอง,9.736,98.486
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.667,99.666
เขาทอง,เมืองกระบี่,กระบี่,8.101,98.690
เกาะสาหร่าย,เมืองสตูล,สตูล,6.716,99.887
เกาะพยาม,เมืองระนอง,ระนอง,9.866,98.472
ตลิ่งงาม,เกาะสมุย,สุราษฎร์ธานี,9.310,99.892
กร่ำ,แกลง,ระยอง,12.611,101.687
เกาะสาหร่าย,เมืองสตูล,สตูล,6.521,99.699
